Block Name,Cell ID,vtkOriginalCellIds,Cell Type,Ma,T,U_0,U_1,U_2,U_Magnitude,p
internalMesh,2685,2685,12,1.32486,2.08006,1.90227,-0.180058,0,1.91077,4.61639
internalMesh,2686,2686,12,1.3247,2.08022,1.9029,-0.171326,0,1.9106,4.62854
internalMesh,2687,2687,12,1.32482,2.0801,1.90381,-0.162326,0,1.91072,4.63854
internalMesh,2688,2688,12,1.3253,2.07965,1.90506,-0.153153,0,1.91121,4.64582
internalMesh,2689,2689,12,1.32625,2.07883,1.90677,-0.143921,0,1.91219,4.64988
internalMesh,2690,2690,12,1.32756,2.07752,1.90875,-0.134626,0,1.91349,4.64977
internalMesh,2691,2691,12,1.32884,2.07647,1.91074,-0.125294,0,1.91484,4.64904
internalMesh,2692,2692,12,1.33041,2.0749,1.91288,-0.115953,0,1.91639,4.64707
internalMesh,2693,2693,12,1.33229,2.07334,1.9154,-0.106647,0,1.91837,4.6428
internalMesh,2694,2694,12,1.3348,2.07101,1.91843,-0.097468,0,1.9209,4.63423
internalMesh,2695,2695,12,1.33769,2.06857,1.92189,-0.0884206,0,1.92392,4.62199
internalMesh,2696,2696,12,1.34105,2.06563,1.92575,-0.0795474,0,1.92739,4.60647
internalMesh,2697,2697,12,1.34479,2.06248,1.92999,-0.070891,0,1.93129,4.58781
internalMesh,2698,2698,12,1.34892,2.05903,1.9346,-0.0624858,0,1.93561,4.56615
internalMesh,2699,2699,12,1.35343,2.05527,1.93954,-0.0543515,0,1.9403,4.54167
internalMesh,2700,2700,12,1.35824,2.05137,1.9448,-0.0464933,0,1.94536,4.51461
internalMesh,2701,2701,12,1.3634,2.04711,1.95032,-0.038902,0,1.95071,4.48526
internalMesh,2702,2702,12,1.36878,2.04275,1.95606,-0.0315592,0,1.95631,4.45392
internalMesh,2703,2703,12,1.37442,2.03812,1.962,-0.024444,0,1.96215,4.42087
internalMesh,2704,2704,12,1.38026,2.03335,1.9681,-0.0175363,0,1.96818,4.38637
internalMesh,2705,2705,12,1.38628,2.02845,1.97435,-0.0108191,0,1.97438,4.35061
internalMesh,2706,2706,12,1.39249,2.02332,1.98072,-0.00428528,0,1.98072,4.31367
internalMesh,2707,2707,12,1.39883,2.01824,1.98723,0.00205554,0,1.98723,4.27578
internalMesh,2708,2708,12,1.40534,2.01287,1.99381,0.00816916,0,1.99383,4.23725
internalMesh,2709,2709,12,1.41183,2.00773,2.00043,0.014047,0,2.00048,4.19819
internalMesh,2710,2710,12,1.41848,2.00231,2.00709,0.0196871,0,2.00719,4.15871
internalMesh,2711,2711,12,1.42508,1.99714,2.01377,0.025088,0,2.01393,4.11886
internalMesh,2712,2712,12,1.4318,1.99177,2.02047,0.0302466,0,2.0207,4.07873
